individual,substrate,dS,dL,predator,species,locality,morph
POP7,LeafLitter,3.940305391,1.8809071,bird,pumilio,POP,green
POP8,LeafLitter,6.57529612,3.0219392,bird,pumilio,POP,green
POP1,trunk,7.654596156,5.4861414,bird,pumilio,POP,green
POP3,trunk,3.91094997,6.1916021,bird,pumilio,POP,green
POP4,trunk,9.785227576,5.7803638,bird,pumilio,POP,green
POP5,trunk,4.243455283,4.1024301,bird,pumilio,POP,green
POP6,trunk,4.018721808,3.5252674,bird,pumilio,POP,green
POP7,trunk,3.368202521,0.1663976,bird,pumilio,POP,green
POP8,trunk,6.357115708,0.9746345,bird,pumilio,POP,green
POP1,GreenLeaf,5.764903882,7.5528215,crab,pumilio,POP,green
POP3,GreenLeaf,2.626607244,0.9224052,crab,pumilio,POP,green
POP4,GreenLeaf,7.100234236,8.3624565,crab,pumilio,POP,green
POP5,GreenLeaf,2.643781776,6.1574987,crab,pumilio,POP,green
POP6,GreenLeaf,1.863557874,2.1352014,crab,pumilio,POP,green
POP7,GreenLeaf,1.548786629,3.5653754,crab,pumilio,POP,green
POP8,GreenLeaf,4.468332011,5.2940367,crab,pumilio,POP,green
POP1,LeafLitter,4.468684648,6.0550881,crab,pumilio,POP,green
POP3,LeafLitter,1.33038801,0.5753283,crab,pumilio,POP,green
POP4,LeafLitter,5.804015002,6.864723,crab,pumilio,POP,green
POP5,LeafLitter,1.347562542,4.6597653,crab,pumilio,POP,green
POP6,LeafLitter,0.56733864,0.637468,crab,pumilio,POP,green
POP7,LeafLitter,0.252567395,2.067642,crab,pumilio,POP,green
POP8,LeafLitter,3.172112776,3.7963032,crab,pumilio,POP,green
POP1,trunk,4.626899654,4.9460876,crab,pumilio,POP,green
POP3,trunk,1.488603015,1.6843288,crab,pumilio,POP,green
POP4,trunk,5.962230008,5.7557225,crab,pumilio,POP,green
POP5,trunk,1.505777547,3.5507648,crab,pumilio,POP,green
POP6,trunk,0.725553645,0.4715325,crab,pumilio,POP,green
POP7,trunk,0.410782401,0.9586415,crab,pumilio,POP,green
POP8,trunk,3.330327782,2.6873027,crab,pumilio,POP,green
POP1,GreenLeaf,5.60858148,5.1373543,lizard,pumilio,POP,green
POP3,GreenLeaf,2.314597216,0.4506267,lizard,pumilio,POP,green
POP4,GreenLeaf,6.686532011,5.3782509,lizard,pumilio,POP,green
POP5,GreenLeaf,2.26853506,4.7307822,lizard,pumilio,POP,green
POP6,GreenLeaf,1.27902497,1.019786,lizard,pumilio,POP,green
POP7,GreenLeaf,1.289847059,2.6447997,lizard,pumilio,POP,green
POP8,GreenLeaf,4.185871218,3.0669008,lizard,pumilio,POP,green
POP1,LeafLitter,3.70199051,3.7409716,lizard,pumilio,POP,green
POP3,LeafLitter,1.189659611,1.8470094,lizard,pumilio,POP,green
POP4,LeafLitter,4.975141521,3.9818682,lizard,pumilio,POP,green
POP5,LeafLitter,1.340910996,3.3343995,lizard,pumilio,POP,green
POP6,LeafLitter,1.587368334,0.3765967,lizard,pumilio,POP,green
POP7,LeafLitter,1.418164612,1.248417,lizard,pumilio,POP,green
POP8,LeafLitter,2.599728901,1.6705181,lizard,pumilio,POP,green
POP1,trunk,3.967650402,2.6354697,lizard,pumilio,POP,green
POP3,trunk,1.105777561,2.9525113,lizard,pumilio,POP,green
POP4,trunk,5.209227697,2.8763662,lizard,pumilio,POP,green
POP5,trunk,1.227976953,2.2288976,lizard,pumilio,POP,green
POP6,trunk,1.244720377,1.4820987,lizard,pumilio,POP,green
POP7,trunk,1.065389232,0.142915,lizard,pumilio,POP,green
